,Unnamed: 0,time,event
0,0,0.0,0.0
1,1,0.0,1.0
2,2,0.0,1.0
3,3,0.0,1.0
4,4,0.0,3.0
5,5,0.0,0.0
6,6,0.0,3.0
7,7,0.0,1.0
8,8,0.0,2.0
9,9,0.0,0.0
10,10,0.0,3.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,1.0
14,14,0.0,0.0
15,15,0.0,3.0
16,16,0.0,1.0
17,17,0.0,4.0
18,18,0.0,1.0
19,19,0.0,3.0
20,20,0.0,2.0
21,21,0.0,4.0
22,22,1.1574074074074074e-14,0.0
23,23,1.1574074074074074e-14,0.0
24,24,1.1574074074074074e-14,4.0
25,25,1.1574074074074074e-14,3.0
26,26,1.1574074074074074e-14,3.0
27,27,1.1574074074074074e-14,3.0
28,28,1.1574074074074074e-14,3.0
29,29,2.3148148148148147e-14,0.0
30,30,2.3148148148148147e-14,0.0
31,31,2.3148148148148147e-14,3.0
32,32,2.3148148148148147e-14,3.0
33,33,2.3148148148148147e-14,4.0
34,34,2.3148148148148147e-14,1.0
35,35,2.3148148148148147e-14,2.0
36,36,3.4722222222222224e-14,4.0
37,37,3.4722222222222224e-14,2.0
38,38,3.4722222222222224e-14,3.0
39,39,4.6296296296296295e-14,0.0
40,40,4.6296296296296295e-14,3.0
41,41,4.6296296296296295e-14,2.0
42,42,4.6296296296296295e-14,2.0
43,43,4.6296296296296295e-14,1.0
44,44,5.787037037037037e-14,0.0
45,45,5.787037037037037e-14,0.0
46,46,5.787037037037037e-14,0.0
47,47,5.787037037037037e-14,3.0
48,48,5.787037037037037e-14,3.0
49,49,5.787037037037037e-14,0.0
50,50,5.787037037037037e-14,1.0
51,51,5.787037037037037e-14,0.0
52,52,5.787037037037037e-14,4.0
53,53,5.787037037037037e-14,2.0
54,54,5.787037037037037e-14,0.0
55,55,5.787037037037037e-14,3.0
56,56,6.944444444444445e-14,1.0
57,57,6.944444444444445e-14,2.0
58,58,6.944444444444445e-14,1.0
59,59,6.944444444444445e-14,4.0
60,60,6.944444444444445e-14,3.0
61,61,6.944444444444445e-14,0.0
62,62,6.944444444444445e-14,0.0
63,63,6.944444444444445e-14,3.0
64,64,6.944444444444445e-14,3.0
65,65,6.944444444444445e-14,0.0
66,66,6.944444444444445e-14,4.0
67,67,6.944444444444445e-14,1.0
68,68,6.944444444444445e-14,2.0
69,69,6.944444444444445e-14,0.0
70,70,8.101851851851852e-14,4.0
71,71,8.101851851851852e-14,2.0
72,72,8.101851851851852e-14,0.0
73,73,8.101851851851852e-14,4.0
74,74,8.101851851851852e-14,0.0
75,75,8.101851851851852e-14,3.0
76,76,8.101851851851852e-14,3.0
77,77,8.101851851851852e-14,2.0
78,78,8.101851851851852e-14,3.0
79,79,8.101851851851852e-14,2.0
80,80,9.259259259259259e-14,0.0
81,81,9.259259259259259e-14,4.0
82,82,9.259259259259259e-14,3.0
83,83,1.0416666666666666e-13,4.0
84,84,1.0416666666666666e-13,3.0
85,85,1.1574074074074073e-13,3.0
86,86,1.1574074074074073e-13,1.0
87,87,1.1574074074074073e-13,2.0
88,88,1.2731481481481483e-13,0.0
89,89,1.2731481481481483e-13,0.0
90,90,1.2731481481481483e-13,0.0
91,91,1.2731481481481483e-13,0.0
92,92,1.2731481481481483e-13,4.0
93,93,1.2731481481481483e-13,1.0
94,94,1.2731481481481483e-13,1.0
95,95,1.388888888888889e-13,3.0
96,96,1.388888888888889e-13,2.0
97,97,1.388888888888889e-13,0.0
98,98,1.388888888888889e-13,2.0
99,99,1.388888888888889e-13,4.0
100,100,1.388888888888889e-13,4.0
101,101,1.388888888888889e-13,4.0
102,102,1.388888888888889e-13,2.0
103,103,1.5046296296296297e-13,0.0
104,104,1.5046296296296297e-13,4.0
105,105,1.5046296296296297e-13,1.0
106,106,1.5046296296296297e-13,1.0
107,107,1.5046296296296297e-13,0.0
108,108,1.5046296296296297e-13,1.0
109,109,1.5046296296296297e-13,1.0
110,110,1.5046296296296297e-13,3.0
111,111,1.5046296296296297e-13,3.0
112,112,1.5046296296296297e-13,4.0
113,113,1.5046296296296297e-13,1.0
114,114,1.5046296296296297e-13,1.0
115,115,1.5046296296296297e-13,3.0
116,116,1.5046296296296297e-13,2.0
117,117,1.5046296296296297e-13,3.0
118,118,1.6203703703703704e-13,0.0
119,119,1.6203703703703704e-13,0.0
