,Unnamed: 0,time,event
0,0,0.0,3.0
1,1,0.0,2.0
2,2,0.0,4.0
3,3,0.0,4.0
4,4,0.0,2.0
5,5,0.0,2.0
6,6,1.1574074074074074e-14,1.0
7,7,1.1574074074074074e-14,2.0
8,8,1.1574074074074074e-14,4.0
9,9,1.1574074074074074e-14,4.0
10,10,1.1574074074074074e-14,2.0
11,11,1.1574074074074074e-14,4.0
12,12,1.1574074074074074e-14,0.0
13,13,2.3148148148148147e-14,2.0
14,14,2.3148148148148147e-14,4.0
15,15,2.3148148148148147e-14,3.0
16,16,2.3148148148148147e-14,0.0
17,17,2.3148148148148147e-14,4.0
18,18,2.3148148148148147e-14,1.0
19,19,2.3148148148148147e-14,1.0
20,20,2.3148148148148147e-14,1.0
21,21,2.3148148148148147e-14,4.0
22,22,2.3148148148148147e-14,4.0
23,23,2.3148148148148147e-14,3.0
24,24,2.3148148148148147e-14,1.0
25,25,2.3148148148148147e-14,3.0
26,26,3.4722222222222224e-14,4.0
27,27,3.4722222222222224e-14,4.0
28,28,3.4722222222222224e-14,1.0
29,29,3.4722222222222224e-14,4.0
30,30,3.4722222222222224e-14,0.0
31,31,3.4722222222222224e-14,4.0
32,32,3.4722222222222224e-14,0.0
33,33,4.6296296296296295e-14,4.0
34,34,4.6296296296296295e-14,3.0
35,35,4.6296296296296295e-14,0.0
36,36,4.6296296296296295e-14,1.0
37,37,4.6296296296296295e-14,4.0
38,38,6.944444444444445e-14,2.0
39,39,6.944444444444445e-14,2.0
40,40,6.944444444444445e-14,0.0
41,41,6.944444444444445e-14,2.0
42,42,8.101851851851852e-14,0.0
43,43,8.101851851851852e-14,1.0
44,44,8.101851851851852e-14,0.0
45,45,8.101851851851852e-14,3.0
46,46,9.259259259259259e-14,4.0
47,47,9.259259259259259e-14,1.0
48,48,9.259259259259259e-14,1.0
49,49,9.259259259259259e-14,1.0
50,50,9.259259259259259e-14,4.0
51,51,9.259259259259259e-14,1.0
52,52,9.259259259259259e-14,0.0
53,53,9.259259259259259e-14,0.0
54,54,9.259259259259259e-14,2.0
55,55,9.259259259259259e-14,2.0
56,56,9.259259259259259e-14,2.0
57,57,9.259259259259259e-14,4.0
58,58,9.259259259259259e-14,4.0
59,59,9.259259259259259e-14,3.0
60,60,9.259259259259259e-14,2.0
61,61,9.259259259259259e-14,4.0
62,62,9.259259259259259e-14,4.0
63,63,9.259259259259259e-14,1.0
64,64,9.259259259259259e-14,0.0
65,65,9.259259259259259e-14,4.0
66,66,9.259259259259259e-14,0.0
67,67,9.259259259259259e-14,0.0
68,68,9.259259259259259e-14,1.0
69,69,9.259259259259259e-14,0.0
70,70,9.259259259259259e-14,0.0
71,71,1.0416666666666666e-13,1.0
72,72,1.0416666666666666e-13,0.0
73,73,1.0416666666666666e-13,2.0
74,74,1.0416666666666666e-13,4.0
75,75,1.0416666666666666e-13,1.0
76,76,1.0416666666666666e-13,0.0
77,77,1.0416666666666666e-13,1.0
78,78,1.0416666666666666e-13,3.0
79,79,1.0416666666666666e-13,1.0
80,80,1.0416666666666666e-13,2.0
81,81,1.0416666666666666e-13,3.0
82,82,1.0416666666666666e-13,3.0
83,83,1.0416666666666666e-13,4.0
84,84,1.0416666666666666e-13,0.0
85,85,1.0416666666666666e-13,4.0
86,86,1.0416666666666666e-13,2.0
87,87,1.0416666666666666e-13,2.0
88,88,1.0416666666666666e-13,2.0
89,89,1.0416666666666666e-13,2.0
90,90,1.0416666666666666e-13,2.0
91,91,1.0416666666666666e-13,4.0
92,92,1.0416666666666666e-13,2.0
93,93,1.0416666666666666e-13,2.0
94,94,1.0416666666666666e-13,4.0
95,95,1.0416666666666666e-13,4.0
96,96,1.0416666666666666e-13,3.0
97,97,1.0416666666666666e-13,0.0
98,98,1.0416666666666666e-13,4.0
99,99,1.0416666666666666e-13,3.0
100,100,1.0416666666666666e-13,3.0
101,101,1.0416666666666666e-13,2.0
102,102,1.0416666666666666e-13,4.0
103,103,1.0416666666666666e-13,1.0
104,104,1.0416666666666666e-13,2.0
105,105,1.0416666666666666e-13,3.0
106,106,1.0416666666666666e-13,1.0
107,107,1.0416666666666666e-13,2.0
108,108,1.1574074074074073e-13,0.0
109,109,1.1574074074074073e-13,4.0
110,110,1.1574074074074073e-13,1.0
111,111,1.1574074074074073e-13,0.0
112,112,1.1574074074074073e-13,4.0
113,113,1.1574074074074073e-13,0.0
114,114,1.1574074074074073e-13,4.0
115,115,1.1574074074074073e-13,3.0
116,116,1.1574074074074073e-13,3.0
117,117,1.1574074074074073e-13,1.0
118,118,1.1574074074074073e-13,3.0
119,119,1.1574074074074073e-13,3.0
120,120,1.1574074074074073e-13,3.0
121,121,1.1574074074074073e-13,2.0
122,122,1.1574074074074073e-13,4.0
123,123,1.1574074074074073e-13,1.0
124,124,1.1574074074074073e-13,2.0
125,125,1.1574074074074073e-13,0.0
126,126,1.1574074074074073e-13,3.0
127,127,1.1574074074074073e-13,2.0
128,128,1.1574074074074073e-13,3.0
