,Unnamed: 0,time,event
0,0,0.0,2.0
1,1,0.0,2.0
2,2,0.0,2.0
3,3,0.0,4.0
4,4,0.0,0.0
5,5,0.0,2.0
6,6,0.0,2.0
7,7,0.0,4.0
8,8,0.0,2.0
9,9,0.0,0.0
10,10,0.0,2.0
11,11,0.0,3.0
12,12,0.0,2.0
13,13,0.0,0.0
14,14,0.0,3.0
15,15,0.0,4.0
16,16,0.0,3.0
17,17,0.0,3.0
18,18,1.1574074074074074e-14,3.0
19,19,1.1574074074074074e-14,2.0
20,20,1.1574074074074074e-14,0.0
21,21,1.1574074074074074e-14,4.0
22,22,1.1574074074074074e-14,0.0
23,23,1.1574074074074074e-14,1.0
24,24,1.1574074074074074e-14,4.0
25,25,1.1574074074074074e-14,4.0
26,26,1.1574074074074074e-14,0.0
27,27,1.1574074074074074e-14,3.0
28,28,1.1574074074074074e-14,4.0
29,29,1.1574074074074074e-14,4.0
30,30,1.1574074074074074e-14,3.0
31,31,1.1574074074074074e-14,3.0
32,32,1.1574074074074074e-14,1.0
33,33,1.1574074074074074e-14,1.0
34,34,1.1574074074074074e-14,4.0
35,35,1.1574074074074074e-14,4.0
36,36,1.1574074074074074e-14,2.0
37,37,1.1574074074074074e-14,0.0
38,38,1.1574074074074074e-14,4.0
39,39,1.1574074074074074e-14,4.0
40,40,1.1574074074074074e-14,1.0
41,41,2.3148148148148147e-14,3.0
42,42,2.3148148148148147e-14,2.0
43,43,2.3148148148148147e-14,2.0
44,44,2.3148148148148147e-14,2.0
45,45,2.3148148148148147e-14,1.0
46,46,2.3148148148148147e-14,0.0
47,47,2.3148148148148147e-14,3.0
48,48,2.3148148148148147e-14,0.0
49,49,2.3148148148148147e-14,3.0
50,50,2.3148148148148147e-14,0.0
51,51,2.3148148148148147e-14,3.0
52,52,2.3148148148148147e-14,3.0
53,53,2.3148148148148147e-14,3.0
54,54,2.3148148148148147e-14,4.0
55,55,2.3148148148148147e-14,0.0
56,56,2.3148148148148147e-14,2.0
57,57,2.3148148148148147e-14,0.0
58,58,2.3148148148148147e-14,2.0
59,59,2.3148148148148147e-14,2.0
60,60,2.3148148148148147e-14,2.0
61,61,2.3148148148148147e-14,2.0
62,62,2.3148148148148147e-14,2.0
63,63,2.3148148148148147e-14,2.0
64,64,2.3148148148148147e-14,2.0
65,65,2.3148148148148147e-14,4.0
66,66,2.3148148148148147e-14,3.0
67,67,2.3148148148148147e-14,0.0
68,68,2.3148148148148147e-14,2.0
69,69,2.3148148148148147e-14,4.0
70,70,2.3148148148148147e-14,2.0
71,71,2.3148148148148147e-14,2.0
72,72,3.4722222222222224e-14,2.0
73,73,3.4722222222222224e-14,3.0
74,74,3.4722222222222224e-14,2.0
75,75,3.4722222222222224e-14,4.0
76,76,3.4722222222222224e-14,0.0
77,77,3.4722222222222224e-14,3.0
78,78,3.4722222222222224e-14,1.0
79,79,3.4722222222222224e-14,1.0
80,80,3.4722222222222224e-14,0.0
81,81,3.4722222222222224e-14,4.0
82,82,3.4722222222222224e-14,4.0
83,83,3.4722222222222224e-14,1.0
84,84,3.4722222222222224e-14,4.0
85,85,3.4722222222222224e-14,4.0
86,86,3.4722222222222224e-14,1.0
87,87,3.4722222222222224e-14,0.0
88,88,3.4722222222222224e-14,2.0
89,89,3.4722222222222224e-14,3.0
90,90,3.4722222222222224e-14,0.0
91,91,3.4722222222222224e-14,2.0
92,92,3.4722222222222224e-14,1.0
93,93,3.4722222222222224e-14,4.0
94,94,3.4722222222222224e-14,3.0
95,95,4.6296296296296295e-14,3.0
96,96,4.6296296296296295e-14,4.0
97,97,4.6296296296296295e-14,0.0
98,98,4.6296296296296295e-14,2.0
99,99,4.6296296296296295e-14,0.0
100,100,4.6296296296296295e-14,3.0
101,101,4.6296296296296295e-14,2.0
102,102,4.6296296296296295e-14,3.0
103,103,4.6296296296296295e-14,3.0
104,104,4.6296296296296295e-14,0.0
105,105,4.6296296296296295e-14,0.0
106,106,4.6296296296296295e-14,0.0
107,107,4.6296296296296295e-14,1.0
108,108,4.6296296296296295e-14,0.0
109,109,4.6296296296296295e-14,4.0
110,110,5.787037037037037e-14,2.0
111,111,5.787037037037037e-14,2.0
112,112,5.787037037037037e-14,2.0
113,113,5.787037037037037e-14,3.0
114,114,5.787037037037037e-14,3.0
115,115,5.787037037037037e-14,2.0
116,116,5.787037037037037e-14,1.0
117,117,5.787037037037037e-14,4.0
118,118,5.787037037037037e-14,4.0
119,119,5.787037037037037e-14,2.0
120,120,5.787037037037037e-14,2.0
121,121,5.787037037037037e-14,0.0
122,122,5.787037037037037e-14,1.0
123,123,5.787037037037037e-14,3.0
124,124,5.787037037037037e-14,4.0
125,125,5.787037037037037e-14,4.0
126,126,5.787037037037037e-14,2.0
127,127,5.787037037037037e-14,3.0
128,128,5.787037037037037e-14,0.0
129,129,5.787037037037037e-14,4.0
130,130,5.787037037037037e-14,0.0
131,131,5.787037037037037e-14,0.0
132,132,5.787037037037037e-14,4.0
133,133,5.787037037037037e-14,2.0
134,134,6.944444444444445e-14,3.0
135,135,6.944444444444445e-14,1.0
136,136,6.944444444444445e-14,4.0
137,137,6.944444444444445e-14,4.0
138,138,6.944444444444445e-14,4.0
139,139,6.944444444444445e-14,0.0
140,140,6.944444444444445e-14,2.0
141,141,6.944444444444445e-14,3.0
142,142,6.944444444444445e-14,0.0
