,Unnamed: 0,time,event
0,0,0.0,0.0
1,1,1.1574074074074074e-14,2.0
2,2,1.1574074074074074e-14,1.0
3,3,1.1574074074074074e-14,3.0
4,4,1.1574074074074074e-14,0.0
5,5,1.1574074074074074e-14,2.0
6,6,1.1574074074074074e-14,1.0
7,7,1.1574074074074074e-14,1.0
8,8,1.1574074074074074e-14,0.0
9,9,1.1574074074074074e-14,2.0
10,10,2.3148148148148147e-14,3.0
11,11,2.3148148148148147e-14,1.0
12,12,3.4722222222222224e-14,1.0
13,13,3.4722222222222224e-14,4.0
14,14,3.4722222222222224e-14,1.0
15,15,1.388888888888889e-13,3.0
16,16,1.388888888888889e-13,1.0
17,17,1.6203703703703704e-13,0.0
18,18,1.6203703703703704e-13,2.0
19,19,1.736111111111111e-13,3.0
20,20,1.736111111111111e-13,1.0
21,21,2.0833333333333332e-13,3.0
22,22,2.0833333333333332e-13,0.0
23,23,2.0833333333333332e-13,2.0
24,24,2.0833333333333332e-13,2.0
25,25,2.0833333333333332e-13,2.0
26,26,2.1990740740740742e-13,0.0
27,27,2.1990740740740742e-13,1.0
28,28,2.3148148148148146e-13,0.0
29,29,2.4305555555555556e-13,2.0
30,30,2.4305555555555556e-13,4.0
31,31,2.4305555555555556e-13,4.0
32,32,3.0092592592592594e-13,4.0
33,33,3.240740740740741e-13,0.0
34,34,3.587962962962963e-13,0.0
35,35,3.587962962962963e-13,2.0
36,36,3.587962962962963e-13,0.0
37,37,3.7037037037037036e-13,2.0
38,38,3.7037037037037036e-13,1.0
39,39,3.8194444444444445e-13,3.0
40,40,3.935185185185185e-13,1.0
41,41,4.050925925925926e-13,4.0
42,42,4.3981481481481483e-13,0.0
43,43,4.3981481481481483e-13,2.0
44,44,4.3981481481481483e-13,1.0
45,45,4.513888888888889e-13,2.0
46,46,4.513888888888889e-13,1.0
47,47,4.861111111111111e-13,0.0
48,48,4.861111111111111e-13,2.0
49,49,4.976851851851852e-13,2.0
