,Unnamed: 0,time,event
0,0,0.0,1.0
1,1,0.0,2.0
2,2,0.0,2.0
3,3,1.1574074074074074e-14,0.0
4,4,1.1574074074074074e-14,4.0
5,5,1.1574074074074074e-14,1.0
6,6,1.1574074074074074e-14,4.0
7,7,1.1574074074074074e-14,3.0
8,8,1.1574074074074074e-14,0.0
9,9,1.1574074074074074e-14,3.0
10,10,1.1574074074074074e-14,0.0
11,11,1.1574074074074074e-14,0.0
12,12,1.1574074074074074e-14,0.0
13,13,1.1574074074074074e-14,4.0
14,14,1.1574074074074074e-14,1.0
15,15,1.1574074074074074e-14,3.0
16,16,1.1574074074074074e-14,2.0
17,17,1.1574074074074074e-14,2.0
18,18,1.1574074074074074e-14,0.0
19,19,1.1574074074074074e-14,2.0
20,20,1.1574074074074074e-14,0.0
21,21,2.3148148148148147e-14,3.0
22,22,2.3148148148148147e-14,1.0
23,23,2.3148148148148147e-14,1.0
24,24,2.3148148148148147e-14,4.0
25,25,2.3148148148148147e-14,3.0
26,26,2.3148148148148147e-14,0.0
27,27,2.3148148148148147e-14,2.0
28,28,2.3148148148148147e-14,1.0
29,29,2.3148148148148147e-14,0.0
30,30,2.3148148148148147e-14,4.0
31,31,2.3148148148148147e-14,4.0
32,32,3.4722222222222224e-14,1.0
33,33,3.4722222222222224e-14,1.0
34,34,3.4722222222222224e-14,2.0
35,35,3.4722222222222224e-14,4.0
36,36,3.4722222222222224e-14,1.0
37,37,4.6296296296296295e-14,2.0
38,38,4.6296296296296295e-14,1.0
39,39,5.787037037037037e-14,1.0
40,40,5.787037037037037e-14,2.0
41,41,5.787037037037037e-14,2.0
42,42,5.787037037037037e-14,4.0
43,43,5.787037037037037e-14,2.0
44,44,6.944444444444445e-14,1.0
45,45,6.944444444444445e-14,0.0
46,46,6.944444444444445e-14,2.0
47,47,6.944444444444445e-14,1.0
48,48,6.944444444444445e-14,2.0
49,49,8.101851851851852e-14,1.0
50,50,8.101851851851852e-14,0.0
51,51,8.101851851851852e-14,0.0
52,52,8.101851851851852e-14,2.0
53,53,8.101851851851852e-14,1.0
54,54,8.101851851851852e-14,1.0
55,55,8.101851851851852e-14,4.0
56,56,8.101851851851852e-14,4.0
57,57,8.101851851851852e-14,0.0
58,58,9.259259259259259e-14,2.0
59,59,9.259259259259259e-14,1.0
60,60,9.259259259259259e-14,0.0
61,61,9.259259259259259e-14,2.0
62,62,9.259259259259259e-14,2.0
63,63,9.259259259259259e-14,4.0
64,64,1.0416666666666666e-13,2.0
65,65,1.0416666666666666e-13,4.0
66,66,1.0416666666666666e-13,1.0
67,67,1.0416666666666666e-13,4.0
68,68,1.0416666666666666e-13,2.0
69,69,1.0416666666666666e-13,3.0
70,70,1.0416666666666666e-13,1.0
71,71,1.0416666666666666e-13,0.0
72,72,1.0416666666666666e-13,3.0
73,73,1.0416666666666666e-13,1.0
74,74,1.0416666666666666e-13,0.0
75,75,1.0416666666666666e-13,3.0
76,76,1.0416666666666666e-13,2.0
77,77,1.0416666666666666e-13,0.0
78,78,1.0416666666666666e-13,1.0
79,79,1.0416666666666666e-13,2.0
80,80,1.0416666666666666e-13,0.0
81,81,1.1574074074074073e-13,0.0
82,82,1.2731481481481483e-13,1.0
83,83,1.2731481481481483e-13,4.0
84,84,1.2731481481481483e-13,4.0
85,85,1.388888888888889e-13,2.0
86,86,1.388888888888889e-13,2.0
87,87,1.388888888888889e-13,2.0
88,88,1.388888888888889e-13,2.0
89,89,1.6203703703703704e-13,1.0
90,90,1.6203703703703704e-13,3.0
91,91,1.6203703703703704e-13,2.0
92,92,1.6203703703703704e-13,0.0
93,93,1.736111111111111e-13,4.0
94,94,1.736111111111111e-13,4.0
95,95,1.8518518518518518e-13,2.0
96,96,1.9675925925925925e-13,4.0
97,97,2.0833333333333332e-13,1.0
98,98,2.1990740740740742e-13,2.0
99,99,2.1990740740740742e-13,4.0
