,Unnamed: 0,time,event
0,0,0.0,2.0
1,1,0.0,2.0
2,2,0.0,2.0
3,3,1.1574074074074074e-14,1.0
4,4,1.1574074074074074e-14,2.0
5,5,1.1574074074074074e-14,0.0
6,6,1.1574074074074074e-14,1.0
7,7,1.1574074074074074e-14,0.0
8,8,1.1574074074074074e-14,1.0
9,9,2.3148148148148147e-14,1.0
10,10,2.3148148148148147e-14,4.0
11,11,2.3148148148148147e-14,1.0
12,12,2.3148148148148147e-14,2.0
13,13,2.3148148148148147e-14,1.0
14,14,2.3148148148148147e-14,4.0
15,15,2.3148148148148147e-14,2.0
16,16,2.3148148148148147e-14,3.0
17,17,2.3148148148148147e-14,4.0
18,18,3.4722222222222224e-14,2.0
19,19,3.4722222222222224e-14,4.0
20,20,3.4722222222222224e-14,0.0
21,21,3.4722222222222224e-14,3.0
22,22,3.4722222222222224e-14,4.0
23,23,4.6296296296296295e-14,4.0
24,24,4.6296296296296295e-14,1.0
25,25,4.6296296296296295e-14,2.0
26,26,4.6296296296296295e-14,0.0
27,27,4.6296296296296295e-14,0.0
28,28,5.787037037037037e-14,3.0
29,29,5.787037037037037e-14,0.0
30,30,5.787037037037037e-14,2.0
31,31,5.787037037037037e-14,0.0
32,32,5.787037037037037e-14,2.0
33,33,5.787037037037037e-14,4.0
34,34,5.787037037037037e-14,1.0
35,35,5.787037037037037e-14,2.0
36,36,5.787037037037037e-14,3.0
37,37,5.787037037037037e-14,2.0
38,38,5.787037037037037e-14,0.0
39,39,5.787037037037037e-14,0.0
40,40,5.787037037037037e-14,1.0
41,41,5.787037037037037e-14,1.0
42,42,5.787037037037037e-14,0.0
43,43,5.787037037037037e-14,0.0
44,44,5.787037037037037e-14,2.0
45,45,5.787037037037037e-14,4.0
46,46,5.787037037037037e-14,2.0
47,47,5.787037037037037e-14,1.0
48,48,5.787037037037037e-14,1.0
49,49,6.944444444444445e-14,0.0
50,50,6.944444444444445e-14,0.0
51,51,6.944444444444445e-14,4.0
52,52,6.944444444444445e-14,1.0
53,53,6.944444444444445e-14,1.0
54,54,6.944444444444445e-14,2.0
55,55,6.944444444444445e-14,0.0
56,56,6.944444444444445e-14,1.0
57,57,6.944444444444445e-14,1.0
58,58,6.944444444444445e-14,4.0
59,59,6.944444444444445e-14,1.0
60,60,6.944444444444445e-14,4.0
61,61,6.944444444444445e-14,0.0
62,62,8.101851851851852e-14,1.0
63,63,8.101851851851852e-14,2.0
64,64,8.101851851851852e-14,2.0
65,65,8.101851851851852e-14,3.0
66,66,8.101851851851852e-14,2.0
67,67,8.101851851851852e-14,2.0
68,68,8.101851851851852e-14,0.0
69,69,8.101851851851852e-14,2.0
70,70,8.101851851851852e-14,2.0
71,71,8.101851851851852e-14,4.0
72,72,9.259259259259259e-14,4.0
73,73,9.259259259259259e-14,4.0
74,74,9.259259259259259e-14,0.0
75,75,9.259259259259259e-14,2.0
76,76,9.259259259259259e-14,4.0
77,77,9.259259259259259e-14,3.0
78,78,9.259259259259259e-14,0.0
79,79,9.259259259259259e-14,0.0
80,80,9.259259259259259e-14,1.0
81,81,9.259259259259259e-14,0.0
82,82,9.259259259259259e-14,4.0
83,83,9.259259259259259e-14,0.0
84,84,9.259259259259259e-14,3.0
85,85,9.259259259259259e-14,1.0
86,86,9.259259259259259e-14,4.0
87,87,9.259259259259259e-14,2.0
88,88,9.259259259259259e-14,2.0
89,89,9.259259259259259e-14,4.0
90,90,9.259259259259259e-14,0.0
91,91,9.259259259259259e-14,4.0
92,92,9.259259259259259e-14,1.0
93,93,1.0416666666666666e-13,3.0
94,94,1.0416666666666666e-13,0.0
95,95,1.0416666666666666e-13,3.0
96,96,1.0416666666666666e-13,4.0
97,97,1.0416666666666666e-13,0.0
98,98,1.0416666666666666e-13,3.0
99,99,1.0416666666666666e-13,3.0
100,100,1.0416666666666666e-13,2.0
101,101,1.0416666666666666e-13,0.0
102,102,1.0416666666666666e-13,1.0
103,103,1.0416666666666666e-13,1.0
104,104,1.0416666666666666e-13,1.0
105,105,1.0416666666666666e-13,2.0
106,106,1.0416666666666666e-13,3.0
107,107,1.0416666666666666e-13,0.0
108,108,1.0416666666666666e-13,4.0
109,109,1.0416666666666666e-13,0.0
110,110,1.0416666666666666e-13,2.0
111,111,1.0416666666666666e-13,2.0
112,112,1.0416666666666666e-13,2.0
113,113,1.0416666666666666e-13,0.0
114,114,1.0416666666666666e-13,0.0
115,115,1.0416666666666666e-13,1.0
116,116,1.0416666666666666e-13,0.0
117,117,1.0416666666666666e-13,0.0
118,118,1.0416666666666666e-13,0.0
119,119,1.0416666666666666e-13,1.0
120,120,1.0416666666666666e-13,1.0
121,121,1.0416666666666666e-13,0.0
122,122,1.0416666666666666e-13,1.0
123,123,1.0416666666666666e-13,1.0
124,124,1.0416666666666666e-13,1.0
125,125,1.0416666666666666e-13,1.0
126,126,1.0416666666666666e-13,1.0
127,127,1.0416666666666666e-13,1.0
128,128,1.0416666666666666e-13,1.0
129,129,1.0416666666666666e-13,1.0
130,130,1.0416666666666666e-13,4.0
131,131,1.1574074074074073e-13,3.0
132,132,1.1574074074074073e-13,4.0
133,133,1.1574074074074073e-13,0.0
134,134,1.1574074074074073e-13,0.0
135,135,1.1574074074074073e-13,2.0
136,136,1.1574074074074073e-13,1.0
137,137,1.1574074074074073e-13,4.0
138,138,1.1574074074074073e-13,0.0
